query_id;sql_text
0;"SELECT s_store_name, s_company_id, s_street_number, s_street_name, s_street_type, s_suite_number, s_city, s_county, s_state, s_zip, SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk <= 30.66) THEN 1.05 ELSE 0.0 END) AS ""30 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 27.77) AND (sr_returned_date_sk - ss_sold_date_sk <= 71.72) THEN 0.92 ELSE 0.0 END) AS ""31-60 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 54.07) AND (sr_returned_date_sk - ss_sold_date_sk <= 96.5) THEN 1.0 ELSE 0.0 END) AS ""61-90 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 82.3) AND (sr_returned_date_sk - ss_sold_date_sk <= 102.64) THEN 0.82 ELSE 0.0 END) AS ""91-120 days"", SUM(CASE WHEN (sr_returned_date_sk - ss_sold_date_sk > 126.08) THEN 1.01 ELSE 0.0 END) AS "">120 days"" FROM store_sales, store_returns, store, date_dim AS d1, date_dim AS d2 WHERE d2.d_year = 2005.5 AND d2.d_moy = 6.93 AND ss_ticket_number = sr_ticket_number AND ss_item_sk = sr_item_sk AND ss_sold_date_sk = d1.d_date_sk AND sr_returned_date_sk = d2.d_date_sk AND ss_customer_sk = sr_customer_sk AND ss_store_sk = s_store_sk GROUP BY s_store_name, s_company_id, s_street_number, s_street_name, s_street_type, s_suite_number, s_city, s_county, s_state, s_zip ORDER BY s_store_name, s_company_id, s_street_number, s_street_name, s_street_type, s_suite_number, s_city, s_county, s_state, s_zip LIMIT 100"
1;SELECT catalog_sales.cs_ship_hdemo_sk FROM catalog_sales LIMIT 204
2;SELECT i_brand_id AS brand_id, i_brand AS brand, i_manufact_id, i_manufact, SUM(ss_ext_sales_price) AS ext_price FROM date_dim, item, customer_address, store WHERE d_date_sk = ss_sold_date_sk AND ss_item_sk = i_item_sk AND i_manager_id = 6.92 AND d_moy = 9.41 AND d_year = 2263.94 AND ss_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND SUBSTRING(ca_zip FROM 1 FOR 5) <> SUBSTRING(s_zip FROM 1 FOR 5) AND ss_store_sk = s_store_sk GROUP BY i_brand, i_brand_id, i_manufact_id, i_manufact ORDER BY ext_price DESC NULLS LAST, i_brand, i_brand_id, i_manufact_id, i_manufact LIMIT 100
3;SELECT store_sales.ss_quantity FROM store_sales LIMIT 76
4;SELECT inventory.inv_item_sk FROM inventory LIMIT 380
5;SELECT item.i_manufact_id FROM item LIMIT 282
6;SELECT store_sales.ss_ext_discount_amt FROM store_sales LIMIT 446
7;SELECT web_sales.ws_ext_tax FROM web_sales LIMIT 285
8;SELECT item.i_color FROM item LIMIT 125
9;SELECT store_sales.ss_ext_sales_price FROM store_sales LIMIT 188
10;SELECT store_sales.ss_ticket_number FROM store_sales LIMIT 176
11;SELECT i_item_id, i_item_desc, i_category, i_class, i_current_price, SUM(cs_ext_sales_price) AS itemrevenue, CAST(SUM(cs_ext_sales_price) * 100.0000 AS DOUBLE PRECISION) / NULLIF(SUM(SUM(cs_ext_sales_price)) OVER (PARTITION BY i_class), 0) AS revenueratio FROM catalog_sales, item, date_dim WHERE cs_item_sk = i_item_sk AND i_category IN ('Sports', 'Books', 'Home') AND cs_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('1999-02-22' AS DATE) AND CAST('1999-03-24' AS DATE) GROUP BY i_item_id, i_item_desc, i_category, i_class, i_current_price ORDER BY i_category NULLS FIRST, i_class NULLS FIRST, i_item_id NULLS FIRST, i_item_desc NULLS FIRST, revenueratio NULLS FIRST LIMIT 100
12;SELECT * FROM (SELECT i_manufact_id, SUM(ss_sales_price) AS sum_sales, AVG(SUM(ss_sales_price)) OVER (PARTITION BY i_manufact_id) AS avg_quarterly_sales FROM item, store_sales, date_dim, store WHERE ss_item_sk = i_item_sk AND ss_sold_date_sk = d_date_sk AND ss_store_sk = s_store_sk AND d_month_seq IN (1271.38, 1342.98 + 0.91, 1221.77 + 1.76, 1223.78 + 2.89, 1389.25 + 4.59, 1418.95 + 4.7, 1320.36 + 6.41, 1086.41 + 6.21, 1376.52 + 7.49, 1060.92 + 9.28, 1219.79 + 10.03, 1403.87 + 12.41) AND ((i_category IN ('Books', 'Children', 'Electronics') AND i_class IN ('personal', 'portable', 'reference', 'self-help') AND i_brand IN ('scholaramalgamalg #14', 'scholaramalgamalg #7', 'exportiunivamalg #9', 'scholaramalgamalg #9')) OR (i_category IN ('Women', 'Music', 'Men') AND i_class IN ('accessories', 'classical', 'fragrances', 'pants') AND i_brand IN ('amalgimporto #1', 'edu packscholar #1', 'exportiimporto #1', 'importoamalg #1'))) GROUP BY i_manufact_id, d_qoy) AS tmp1 WHERE CASE WHEN avg_quarterly_sales > 0.0 THEN CAST(ABS(sum_sales - avg_quarterly_sales) AS DOUBLE PRECISION) / NULLIF(NULLIF(avg_quarterly_sales, 0), 0) ELSE NULL END > 0.08 ORDER BY avg_quarterly_sales, sum_sales, i_manufact_id LIMIT 100
13;SELECT i_item_id, i_item_desc, i_category, i_class, i_current_price, SUM(ws_ext_sales_price) AS itemrevenue, CAST(SUM(ws_ext_sales_price) * 84.49 AS DOUBLE PRECISION) / NULLIF(NULLIF(SUM(SUM(ws_ext_sales_price)) OVER (PARTITION BY i_class), 0), 0) AS revenueratio FROM web_sales, item, date_dim WHERE ws_item_sk = i_item_sk AND i_category IN ('Sports', 'Books', 'Home') AND ws_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('1999-02-22' AS DATE) AND CAST('1999-03-24' AS DATE) GROUP BY i_item_id, i_item_desc, i_category, i_class, i_current_price ORDER BY i_category, i_class, i_item_id, i_item_desc, revenueratio LIMIT 100
14;SELECT promotion.p_response_target FROM promotion LIMIT 383
