query_id;sql_text
0;SELECT catalog_page.cp_type, web_returns.wr_order_number, catalog_returns.cr_refunded_cdemo_sk FROM catalog_page FULL JOIN catalog_returns ON catalog_page.cp_catalog_page_sk = catalog_returns.cr_catalog_page_sk FULL JOIN web_returns ON catalog_returns.cr_refunded_addr_sk = web_returns.wr_refunded_addr_sk LIMIT 416
1;SELECT catalog_page.cp_start_date_sk, promotion.p_channel_details, web_returns.wr_reversed_charge, COUNT(*) FROM promotion LEFT ANTI JOIN web_returns ON promotion.p_item_sk = web_returns.wr_item_sk LEFT JOIN catalog_page ON catalog_page.cp_start_date_sk = promotion.p_start_date_sk GROUP BY catalog_page.cp_start_date_sk, promotion.p_channel_details, web_returns.wr_reversed_charge LIMIT 113
2;SELECT i_item_id, i_item_desc, i_category, i_class, i_current_price, SUM(ws_ext_sales_price) AS itemrevenue, SUM(ws_ext_sales_price) * 100.0000 / SUM(SUM(ws_ext_sales_price)) OVER (PARTITION BY i_class) AS revenueratio FROM web_sales, item, date_dim WHERE ws_item_sk = i_item_sk AND i_category IN ('Sports', 'Books', 'Home') AND ws_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('1999-02-22' AS DATE) AND CAST('1999-03-24' AS DATE) GROUP BY i_item_id, i_item_desc, i_category, i_class, i_current_price ORDER BY i_category NULLS LAST, i_class NULLS LAST, i_item_id NULLS LAST, i_item_desc NULLS LAST, revenueratio NULLS LAST LIMIT 100
3;WITH customer_total_return AS (SELECT wr_returning_customer_sk AS ctr_customer_sk, ca_state AS ctr_state, SUM(wr_return_amt) AS ctr_total_return FROM web_returns, date_dim, customer_address WHERE wr_returned_date_sk = d_date_sk AND d_year = 2002 AND wr_returning_addr_sk = ca_address_sk GROUP BY wr_returning_customer_sk, ca_state) SELECT c_customer_id, c_salutation, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_day, c_birth_month, c_birth_year, c_birth_country, c_login, c_email_address, c_last_review_date_sk, ctr_total_return FROM customer_total_return AS ctr1, customer_address, customer WHERE ctr1.ctr_total_return > (SELECT AVG(ctr_total_return) * 1.2 FROM customer_total_return AS ctr2 WHERE ctr1.ctr_state = ctr2.ctr_state) AND ca_address_sk = c_current_addr_sk AND ca_state = 'GA' AND ctr1.ctr_customer_sk = c_customer_sk ORDER BY c_customer_id, c_salutation, c_first_name, c_last_name, c_preferred_cust_flag, c_birth_day, c_birth_month, c_birth_year, c_birth_country, c_login, c_email_address, c_last_review_date_sk, ctr_total_return LIMIT 100
4;WITH ssr AS (SELECT s_store_id AS store_id, SUM(ss_ext_sales_price) AS sales, SUM(COALESCE(sr_return_amt, 0)) AS returns_, SUM(ss_net_profit - COALESCE(sr_net_loss, 0)) AS profit FROM store_sales LEFT OUTER JOIN store_returns ON (ss_item_sk = sr_item_sk AND ss_ticket_number = sr_ticket_number), date_dim, store, item, promotion WHERE ss_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-23' AS DATE) AND CAST('2000-09-22' AS DATE) AND ss_store_sk = s_store_sk AND ss_item_sk = i_item_sk AND i_current_price > 50 AND ss_promo_sk = p_promo_sk AND p_channel_tv = 'N' GROUP BY s_store_id), csr AS (SELECT cp_catalog_page_id AS catalog_page_id, SUM(cs_ext_sales_price) AS sales, SUM(COALESCE(cr_return_amount, 0)) AS returns_, SUM(cs_net_profit - COALESCE(cr_net_loss, 0)) AS profit FROM catalog_sales LEFT OUTER JOIN catalog_returns ON (cs_item_sk = cr_item_sk AND cs_order_number = cr_order_number), date_dim, catalog_page, item, promotion WHERE cs_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-23' AS DATE) AND CAST('2000-09-22' AS DATE) AND cs_catalog_page_sk = cp_catalog_page_sk AND cs_item_sk = i_item_sk AND i_current_price > 50 AND cs_promo_sk = p_promo_sk AND p_channel_tv = 'N' GROUP BY cp_catalog_page_id), wsr AS (SELECT web_site_id, SUM(ws_ext_sales_price) AS sales, SUM(COALESCE(wr_return_amt, 0)) AS returns_, SUM(ws_net_profit - COALESCE(wr_net_loss, 0)) AS profit FROM web_sales LEFT OUTER JOIN web_returns ON (ws_item_sk = wr_item_sk AND ws_order_number = wr_order_number), date_dim, web_site, item, promotion WHERE ws_sold_date_sk = d_date_sk AND d_date BETWEEN CAST('2000-08-23' AS DATE) AND CAST('2000-09-22' AS DATE) AND ws_web_site_sk = web_site_sk AND ws_item_sk = i_item_sk AND i_current_price > 50 AND ws_promo_sk = p_promo_sk AND p_channel_tv = 'N' GROUP BY web_site_id) SELECT channel, id, SUM(sales) AS sales, SUM(returns_) AS returns_, SUM(profit) AS profit FROM (SELECT 'store channel' AS channel, CONCAT('store', COALESCE(store_id, '')) AS id, sales, returns_, profit FROM ssr UNION ALL SELECT 'catalog channel' AS channel, CONCAT('catalog_page', COALESCE(catalog_page_id, '')) AS id, sales, returns_, profit FROM csr UNION ALL SELECT 'web channel' AS channel, CONCAT('web_site', COALESCE(web_site_id, '')) AS id, sales, returns_, profit FROM wsr) AS x GROUP BY ROLLUP (channel, id) ORDER BY channel, id LIMIT 100
5;SELECT warehouse.w_country, catalog_page.cp_catalog_page_id, catalog_returns.cr_warehouse_sk FROM warehouse LEFT ANTI JOIN catalog_returns ON catalog_returns.cr_warehouse_sk = warehouse.w_warehouse_sk LEFT JOIN catalog_page ON catalog_page.cp_catalog_page_sk = catalog_returns.cr_catalog_page_sk LIMIT 294
6;SELECT catalog_sales.cs_coupon_amt, promotion.p_promo_name, call_center.cc_rec_end_date, COUNT(*) FROM call_center INNER JOIN catalog_sales ON call_center.cc_call_center_sk = catalog_sales.cs_call_center_sk LEFT JOIN promotion ON catalog_sales.cs_item_sk = promotion.p_item_sk GROUP BY catalog_sales.cs_coupon_amt, promotion.p_promo_name, call_center.cc_rec_end_date LIMIT 477
7;SELECT store_sales.ss_store_sk, customer.c_email_address, catalog_sales.cs_ext_sales_price, COUNT(*) FROM store_sales FULL JOIN customer ON customer.c_customer_sk = store_sales.ss_customer_sk INNER JOIN catalog_sales ON catalog_sales.cs_sold_time_sk = store_sales.ss_sold_time_sk GROUP BY store_sales.ss_store_sk, customer.c_email_address, catalog_sales.cs_ext_sales_price LIMIT 305
8;SELECT catalog_sales.cs_wholesale_cost, web_sales.ws_item_sk, catalog_returns.cr_ship_mode_sk, COUNT(*) FROM catalog_returns LEFT JOIN web_sales ON catalog_returns.cr_item_sk = web_sales.ws_item_sk LEFT JOIN catalog_sales ON catalog_returns.cr_item_sk = catalog_sales.cs_item_sk GROUP BY catalog_sales.cs_wholesale_cost, web_sales.ws_item_sk, catalog_returns.cr_ship_mode_sk LIMIT 282
9;SELECT time_dim.t_time, COUNT(*) FROM time_dim GROUP BY time_dim.t_time LIMIT 438
10;SELECT store_returns.sr_return_ship_cost, web_returns.wr_order_number, catalog_returns.cr_reason_sk, COUNT(*) FROM web_returns LEFT ANTI JOIN catalog_returns ON catalog_returns.cr_returning_hdemo_sk = web_returns.wr_returning_hdemo_sk LEFT ANTI JOIN store_returns ON catalog_returns.cr_returned_date_sk = store_returns.sr_returned_date_sk GROUP BY store_returns.sr_return_ship_cost, web_returns.wr_order_number, catalog_returns.cr_reason_sk LIMIT 202
11;SELECT web_returns.wr_return_tax, customer.c_customer_id, store_returns.sr_return_amt_inc_tax, COUNT(*) FROM customer LEFT ANTI JOIN store_returns ON customer.c_customer_sk = store_returns.sr_customer_sk LEFT ANTI JOIN web_returns ON store_returns.sr_reason_sk = web_returns.wr_reason_sk GROUP BY web_returns.wr_return_tax, customer.c_customer_id, store_returns.sr_return_amt_inc_tax LIMIT 288
12;SELECT customer.c_birth_country, store_returns.sr_net_loss, web_page.wp_image_count, COUNT(*) FROM customer INNER JOIN web_page ON customer.c_customer_sk = web_page.wp_customer_sk FULL JOIN store_returns ON store_returns.sr_customer_sk = web_page.wp_customer_sk GROUP BY customer.c_birth_country, store_returns.sr_net_loss, web_page.wp_image_count LIMIT 422
13;SELECT SUM(ws_net_paid) AS total_sum, i_category, i_class, GROUPING(i_category) + GROUPING(i_class) AS lochierarchy, RANK() OVER (PARTITION BY GROUPING(i_category) + GROUPING(i_class), CASE WHEN GROUPING(i_class) = 0.0 THEN i_category END ORDER BY SUM(ws_net_paid) DESC) AS rank_within_parent FROM web_sales, date_dim AS d1, item WHERE d1.d_month_seq BETWEEN 1256.47 AND 1137.68 + 12.65 AND d1.d_date_sk = ws_sold_date_sk AND i_item_sk = ws_item_sk GROUP BY ROLLUP (i_category, i_class) ORDER BY lochierarchy DESC NULLS FIRST, CASE WHEN GROUPING(i_category) + GROUPING(i_class) = 0.0 THEN i_category END NULLS LAST, rank_within_parent NULLS LAST LIMIT 100
14;WITH customer_total_return AS (SELECT cr_returning_customer_sk AS ctr_customer_sk, ca_state AS ctr_state, SUM(cr_return_amt_inc_tax) AS ctr_total_return FROM catalog_returns, date_dim, customer_address WHERE cr_returned_date_sk = d_date_sk AND d_year = 2325.76 AND cr_returning_addr_sk = ca_address_sk GROUP BY cr_returning_customer_sk, ca_state) SELECT c_customer_id, c_salutation, c_first_name, c_last_name, ca_street_number, ca_street_name, ca_street_type, ca_suite_number, ca_city, ca_county, ca_state, ca_zip, ca_country, ca_gmt_offset, ca_location_type, ctr_total_return FROM customer_total_return AS ctr1, customer_address, customer WHERE ctr1.ctr_total_return > (SELECT AVG(ctr_total_return) * 1.13 FROM customer_total_return AS ctr2 WHERE ctr1.ctr_state = ctr2.ctr_state) AND ca_address_sk = c_current_addr_sk AND ca_state = 'GA' AND ctr1.ctr_customer_sk = c_customer_sk ORDER BY c_customer_id NULLS LAST, c_salutation NULLS LAST, c_first_name NULLS LAST, c_last_name NULLS LAST, ca_street_number NULLS LAST, ca_street_name NULLS LAST, ca_street_type NULLS LAST, ca_suite_number NULLS LAST, ca_city NULLS LAST, ca_county NULLS LAST, ca_state NULLS LAST, ca_zip NULLS LAST, ca_country NULLS LAST, ca_gmt_offset NULLS LAST, ca_location_type NULLS LAST, ctr_total_return NULLS LAST LIMIT 100
15;SELECT catalog_sales.cs_list_price, store_returns.sr_reversed_charge, catalog_returns.cr_catalog_page_sk FROM store_returns LEFT ANTI JOIN catalog_returns ON catalog_returns.cr_item_sk = store_returns.sr_item_sk INNER JOIN catalog_sales ON catalog_sales.cs_item_sk = store_returns.sr_item_sk LIMIT 251
16;SELECT store_sales.ss_hdemo_sk, customer.c_preferred_cust_flag, web_page.wp_customer_sk FROM customer FULL JOIN web_page ON customer.c_customer_sk = web_page.wp_customer_sk LEFT JOIN store_sales ON customer.c_customer_sk = store_sales.ss_customer_sk LIMIT 279
