;query_id;query_hash;sf;sql_text;target_work_mem_mb;target_max_parallel_workers_per_gather;target_jit;target_enable_hashjoin;target_enable_indexscan;target_enable_nestloop;feature_total_cost;feature_plan_rows;feature_plan_width;feature_num_joins;feature_num_scans;feature_num_aggs;feature_num_sorts;feature_num_filters;feature_num_index_scans;feature_num_mem_nodes;feature_total_scan_size_bytes;feature_max_node_cost;metric_duration_ms;metric_actual_rows;metric_temp_written_blocks;metric_shared_hit_blocks;metric_shared_read_blocks;metric_peak_memory_mb;metric_max_log_planner_error;strat_label
1;0;88703315ab568746e45dce685bcb3ee9;10;SELECT catalog_sales.* FROM catalog_sales JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk JOIN customer ON catalog_sales.cs_bill_customer_sk = customer.c_customer_sk LIMIT 77;64;0;off;on;on;on;14944978.44;14331215;242;2;3;0;0;0;1;0;106496;14944978.44;1.585;77;0;720;0;9.0;5.3;J0_I1_H1_D0
2;2;6b73fa1cbb1ce257851f3793ad74ff40;10;SELECT store_returns.* FROM store_returns JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk LIMIT 96;64;0;off;on;on;on;607513.0;2779125;142;1;2;0;0;0;1;0;589824;607513.0;0.178;96;0;351;0;0.0;4.5;J0_I1_H1_D0
3;3;4b624ce18f898c3eb34341915c40317d;10;SELECT web_returns.* FROM web_returns JOIN customer ON web_returns.wr_refunded_customer_sk = customer.c_customer_sk LIMIT 397;18;2;on;on;on;off;97223.39;719222;174;1;2;0;0;0;0;2;10100736;97223.39;43.787;500001;0;57493;2536;0.0;3.2;J1_I1_H1_D2
4;4;30c4b064ae671b330c4aa382f621f6b8;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk JOIN date_dim ON web_returns.wr_returned_date_sk = date_dim.d_date_sk LIMIT 448;64;0;off;on;on;on;814116.26;685299;174;2;3;0;0;0;1;0;11608064;814116.26;23.121;35867;0;439656;0;49.0;3.2;J0_I1_H1_D0
5;5;91aad2fe508535e4070f34a98723fba7;10;SELECT store_returns.* FROM store_returns JOIN date_dim ON store_returns.sr_returned_date_sk = date_dim.d_date_sk JOIN customer ON store_returns.sr_customer_sk = customer.c_customer_sk LIMIT 143;15;2;on;on;on;on;311618.75;2877735;142;2;3;0;0;0;0;4;55492608;311618.75;51.962;500001;0;40645;31380;0.0;4.3;J1_I1_H1_D2
6;6;f8c47224a106d4afad3176dc129ea94f;10;SELECT web_sales.* FROM web_sales JOIN date_dim ON web_sales.ws_sold_date_sk = date_dim.d_date_sk LIMIT 491;62;0;on;off;on;off;9018220.11;7197029;242;1;2;0;0;0;1;0;475136;9018220.11;9.649;73049;0;8182;0;0.0;4.2;J1_I1_H0_D0
7;7;6395d8f7bc1b51adc5d5d464a9b5c606;10;SELECT store_sales.* FROM store_sales JOIN store ON store_sales.ss_store_sk = store.s_store_sk LIMIT 466;258;0;on;on;on;off;1685776.72;28801880;155;1;2;0;0;0;0;0;147456;1685776.72;0.25;484;0;59;0;12.0;4.8;J1_I1_H1_D0
8;8;b5e80220654ced611f25c5bc93ba18ee;10;SELECT web_returns.* FROM web_returns JOIN item ON web_returns.wr_item_sk = item.i_item_sk LIMIT 328;6;0;on;on;on;on;68017.57;719222;174;1;2;0;0;0;0;0;532480;68017.57;2.113;328;0;2650;0;36.0;3.3;J1_I1_H1_D0
9;9;7e5ade6c517f5eb540945d645aed2d66;10;SELECT catalog_sales.* FROM catalog_sales JOIN date_dim ON catalog_sales.cs_sold_date_sk = date_dim.d_date_sk LIMIT 428;129;0;on;off;on;off;18064766.69;14320654;242;1;2;0;0;0;1;0;155648;18064766.69;9.224;73049;0;8065;0;0.0;4.5;J1_I1_H0_D0
10;11;ef7ac0bb21390bfa01af44138cbdac35;10;SELECT catalog_sales.* FROM catalog_sales JOIN item ON catalog_sales.cs_item_sk = item.i_item_sk JOIN warehouse ON catalog_sales.cs_warehouse_sk = warehouse.w_warehouse_sk LIMIT 212;64;0;off;on;on;on;1433976.49;14400819;242;2;3;0;0;0;0;2;57344;1433976.49;2.448;214;0;1741;0;33.0;4.8;J0_I1_H1_D0
